HSCode,Commodity,Ex_INR,%Share,Year
1,LIVE ANIMALS.,166.68,0.0045,202425
2,MEAT AND EDIBLE MEAT OFFAL.,"35,225.80",0.9516,202425
3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.","53,246.58",1.4384,202425
4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.","7,242.47",0.1956,202425
5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.","2,454.59",0.0663,202425
6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,749.17,0.0202,202425
7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,"18,541.12",0.5009,202425
8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,"14,393.22",0.3888,202425
9,"COFFEE, TEA, MATE AND SPICES.","45,431.48",1.2272,202425
10,CEREALS.,"1,08,085.77",2.9197,202425
11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,"6,146.26",0.1660,202425
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.","17,995.89",0.4861,202425
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.","9,549.56",0.2580,202425
14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,396.45,0.0107,202425
15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,"17,270.17",0.4665,202425
16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES","6,685.64",0.1806,202425
17,SUGARS AND SUGAR CONFECTIONERY.,"21,181.25",0.5722,202425
18,COCOA AND COCOA PREPARATIONS.,"2,512.40",0.0679,202425
19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.","7,724.54",0.2087,202425
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.","10,359.27",0.2798,202425
21,MISCELLANEOUS EDIBLE PREPARATIONS.,"14,489.04",0.3914,202425
22,"BEVERAGES, SPIRITS AND VINEGAR.","3,826.43",0.1034,202425
23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,"18,696.22",0.5050,202425
24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,"16,728.02",0.4519,202425
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.","17,008.88",0.4595,202425
26,"ORES, SLAG AND ASH.","19,889.48",0.5373,202425
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.","5,65,709.37",15.2816,202425
28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.","34,409.60",0.9295,202425
29,ORGANIC CHEMICALS,"1,70,243.87",4.5988,202425
30,PHARMACEUTICAL PRODUCTS,"2,08,125.57",5.6221,202425
