Report Dated: 22 Jul 2025  Values in ₹ Crore ,,,,,,,,,
S.No.,HSCode,Commodity,2017 - 2018,%Share,2018 - 2019,%Share,%Growth,,
1,01,LIVE ANIMALS.,56.55,0.0019,62.62,0.0017,10.72,,
,,,,,,,,,
2,02,MEAT AND EDIBLE MEAT OFFAL.,29.99,0.0010,31.79,0.0009,5.99,,
,,,,,,,,,
3,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",583.41,0.0194,745.12,0.0207,27.72,,
,,,,,,,,,
4,04,DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL O...,302.88,0.0101,228.69,0.0064,-24.50,,
,,,,,,,,,
5,05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",312.37,0.0104,309.61,0.0086,-0.88,,
,,,,,,,,,
6,06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS...,136.46,0.0045,174.09,0.0048,27.58,,
,,,,,,,,,
7,07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,"19,138.18",0.6377,"8,374.34",0.2330,-56.24,,
,,,,,,,,,
8,08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,"21,911.33",0.7301,"25,323.93",0.7045,15.57,,
,,,,,,,,,
9,09,"COFFEE, TEA, MATE AND SPICES.","5,478.42",0.1826,"5,036.99",0.1401,-8.06,,
,,,,,,,,,
10,10,CEREALS.,"2,806.66",0.0935,510.12,0.0142,-81.82,,
,,,,,,,,,
11,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLU...,496.76,0.0166,517.21,0.0144,4.12,,
,,,,,,,,,
12,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRI...","2,301.99",0.0767,"3,985.84",0.1109,73.15,,
,,,,,,,,,
13,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.","1,587.22",0.0529,"1,781.10",0.0495,12.22,,
,,,,,,,,,
14,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPEC...,237.20,0.0079,351.95,0.0098,48.38,,
,,,,,,,,,
15,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE....,"75,401.98",2.5125,"69,749.86",1.9404,-7.50,,
,,,,,,,,,
16,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER ...",30.30,0.0010,40.20,0.0011,32.64,,
,,,,,,,,,
17,17,SUGARS AND SUGAR CONFECTIONERY.,"6,769.17",0.2256,"3,838.00",0.1068,-43.30,,
,,,,,,,,,
18,18,COCOA AND COCOA PREPARATIONS.,"1,473.10",0.0491,"1,845.89",0.0514,25.31,,
