HSCode,Commodity,Im_INR,%Share,Year
1,LIVE ANIMALS.,62.62,0.0017,201819
2,MEAT AND EDIBLE MEAT OFFAL.,31.79,0.0009,201819
3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",745.12,0.0207,201819
4,DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL O...,228.69,0.0064,201819
5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",309.61,0.0086,201819
6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS...,174.09,0.0048,201819
7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,"8,374.34",0.2330,201819
8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,"25,323.93",0.7045,201819
9,"COFFEE, TEA, MATE AND SPICES.","5,036.99",0.1401,201819
10,CEREALS.,510.12,0.0142,201819
11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLU...,517.21,0.0144,201819
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRI...","3,985.84",0.1109,201819
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.","1,781.10",0.0495,201819
14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPEC...,351.95,0.0098,201819
15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE....,"69,749.86",1.9404,201819
16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER ...",40.20,0.0011,201819
17,SUGARS AND SUGAR CONFECTIONERY.,"3,838.00",0.1068,201819
18,COCOA AND COCOA PREPARATIONS.,"1,845.89",0.0514,201819
19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",658.44,0.0183,201819
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",822.53,0.0229,201819
21,MISCELLANEOUS EDIBLE PREPARATIONS.,"1,523.47",0.0424,201819
22,"BEVERAGES, SPIRITS AND VINEGAR.","5,510.15",0.1533,201819
23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,"4,479.34",0.1246,201819
24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,360.41,0.0100,201819
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEM...","19,938.05",0.5547,201819
26,"ORES, SLAG AND ASH.","29,631.30",0.8243,201819
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BIT...","11,74,714.85",32.6793,201819
28,INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS MET...,"53,236.79",1.4810,201819
29,ORGANIC CHEMICALS,"1,56,551.55",4.3551,201819
30,PHARMACEUTICAL PRODUCTS,"14,581.13",0.4056,201819
31,FERTILISERS.,"46,456.75",1.2924,201819
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS ...","15,459.57",0.4301,201819
33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARA...","8,055.49",0.2241,201819
34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICAT...","6,462.93",0.1798,201819
35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,"3,623.68",0.1008,201819
36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTA...,71.06,0.0020,201819
37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,"1,459.23",0.0406,201819
