HSCode,Commodity,INR,%Share,Year
01,LIVE ANIMALS.,87.13,0.0026,201920
02,MEAT AND EDIBLE MEAT OFFAL.,38.87,0.0012,201920
03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",916.31,0.0273,201920
04,DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL O...,266.63,0.0079,201920
05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",253.04,0.0075,201920
06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS...,229.64,0.0068,201920
07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,"11,189.59",0.3329,201920
08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,"23,372.92",0.6954,201920
09,"COFFEE, TEA, MATE AND SPICES.","5,528.02",0.1645,201920
10,CEREALS.,"1,306.35",0.0389,201920
11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLU...,522.57,0.0155,201920
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRI...","5,464.11",0.1626,201920
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.","1,959.87",0.0583,201920
14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPEC...,572.10,0.0170,201920
15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE....,"69,934.02",2.0808,201920
16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER ...",53.42,0.0016,201920
17,SUGARS AND SUGAR CONFECTIONERY.,"3,208.78",0.0955,201920
18,COCOA AND COCOA PREPARATIONS.,"1,833.97",0.0546,201920
19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",729.24,0.0217,201920
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",791.29,0.0235,201920
21,MISCELLANEOUS EDIBLE PREPARATIONS.,"1,419.86",0.0422,201920
22,"BEVERAGES, SPIRITS AND VINEGAR.","5,632.91",0.1676,201920
23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,"5,065.63",0.1507,201920
24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,391.93,0.0117,201920
