HSCode,Commodity,2022 - 2023,%Share,Year
01,LIVE ANIMALS.,88.28,0.0015,202223
02,MEAT AND EDIBLE MEAT OFFAL.,48.49,0.0008,202223
03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.","1,528.99",0.0266,202223
04,DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL O...,364.28,0.0063,202223
05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",378.52,0.0066,202223
06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS...,285.21,0.0050,202223
07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,"16,119.10",0.2803,202223
08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,"34,598.26",0.6017,202223
09,"COFFEE, TEA, MATE AND SPICES.","7,737.63",0.1346,202223
10,CEREALS.,"1,237.99",0.0215,202223
11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLU...,639.70,0.0111,202223
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRI...","7,897.49",0.1374,202223
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.","3,352.58",0.0583,202223
14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPEC...,816.84,0.0142,202223
15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE....,"169,548.12",2.9488,202223
16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER ...",57.15,0.0010,202223
17,SUGARS AND SUGAR CONFECTIONERY.,"3,502.34",0.0609,202223
18,COCOA AND COCOA PREPARATIONS.,"3,530.76",0.0614,202223
19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.","1,300.09",0.0226,202223
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.","1,197.38",0.0208,202223
21,MISCELLANEOUS EDIBLE PREPARATIONS.,"1,652.74",0.0287,202223
22,"BEVERAGES, SPIRITS AND VINEGAR.","8,510.34",0.1480,202223
23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,"6,333.05",0.1101,202223
24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,610.36,0.0106,202223
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEM...","37,868.10",0.6586,202223
26,"ORES, SLAG AND ASH.","46,495.04",0.8086,202223
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BIT...","2,093,896.24",36.4168,202223
28,INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS MET...,"102,895.00",1.7895,202223
29,ORGANIC CHEMICALS,"232,168.90",4.0379,202223
30,PHARMACEUTICAL PRODUCTS,"21,022.83",0.3656,202223
31,FERTILISERS.,"123,407.38",2.1463,202223
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS ...","20,490.42",0.3564,202223
33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARA...","11,052.28",0.1922,202223
34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICAT...","10,934.40",0.1902,202223
35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,"6,899.90",0.1200,202223
36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTA...,119.42,0.0021,202223
37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,"1,686.08",0.0293,202223
38,MISCELLANEOUS CHEMICAL PRODUCTS.,"65,755.98",1.1436,202223
39,PLASTIC AND ARTICLES THEREOF.,"185,547.16",3.2270,202223
40,RUBBER AND ARTICLES THEREOF.,"33,483.18",0.5823,202223
41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,"3,869.28",0.0673,202223
42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND...","3,873.02",0.0674,202223
43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",47.94,0.0008,202223
44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,"18,312.42",0.3185,202223
45,CORK AND ARTICLES OF CORK.,68.71,0.0012,202223
46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; B...",56.59,0.0010,202223
47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCR...,"32,223.98",0.5604,202223
48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERB...","26,507.37",0.4610,202223
49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRIN...","2,909.54",0.0506,202223
50,SILK,"2,173.82",0.0378,202223
51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.","2,559.20",0.0445,202223
52,COTTON.,"13,628.69",0.2370,202223
53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAP...,"4,199.31",0.0730,202223
54,MAN-MADE FILAMENTS.,"14,287.36",0.2485,202223
55,MAN-MADE STAPLE FIBRES.,"9,822.04",0.1708,202223
56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES A...","3,477.37",0.0605,202223
57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,"1,297.09",0.0226,202223
58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TR...,"1,744.18",0.0303,202223
59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ...","6,900.96",0.1200,202223
60,KNITTED OR CROCHETED FABRICS.,"6,073.97",0.1056,202223
61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.","6,535.97",0.1137,202223
62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHE...","7,583.43",0.1319,202223
63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTIL...,"5,060.14",0.0880,202223
64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.","7,397.71",0.1287,202223
65,HEADGEAR AND PARTS THEREOF.,358.18,0.0062,202223
66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING...",320.46,0.0056,202223
67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN...,294.85,0.0051,202223
68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATER...","8,313.18",0.1446,202223
69,CERAMIC PRODUCTS.,"7,496.96",0.1304,202223
70,GLASS AND GLASSWARE.,"14,070.52",0.2447,202223
71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.META...","592,525.23",10.3051,202223
72,IRON AND STEEL,"142,919.19",2.4856,202223
73,ARTICLES OF IRON OR STEEL,"38,488.28",0.6694,202223
74,COPPER AND ARTICLES THEREOF.,"61,248.79",1.0652,202223
75,NICKEL AND ARTICLES THEREOF.,"10,492.97",0.1825,202223
76,ALUMINIUM AND ARTICLES THEREOF.,"56,290.89",0.9790,202223
78,LEAD AND ARTICLES THEREOF.,"6,270.97",0.1091,202223
79,ZINC AND ARTICLES THEREOF.,"7,313.44",0.1272,202223
80,TIN AND ARTICLES THEREOF.,"3,209.61",0.0558,202223
81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,"5,538.80",0.0963,202223
82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS T...","11,003.09",0.1914,202223
83,MISCELLANEOUS ARTICLES OF BASE METAL.,"9,869.01",0.1716,202223
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PAR...","437,140.47",7.6027,202223
85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDE...,"543,741.34",9.4567,202223
86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RA...","5,231.66",0.0910,202223
87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND...","57,877.45",1.0066,202223
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.","90,580.08",1.5754,202223
89,"SHIPS, BOATS AND FLOATING STRUCTURES.","56,908.57",0.9897,202223
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION...","93,870.71",1.6326,202223
91,CLOCKS AND WATCHES AND PARTS THEREOF.,"3,760.70",0.0654,202223
92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,552.25,0.0096,202223
93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,916.39,0.0159,202223
94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIM...","12,558.29",0.2184,202223
95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.","3,392.35",0.0590,202223
96,MISCELLANEOUS MANUFACTURED ARTICLES.,"6,096.21",0.1060,202223
97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,"1,176.26",0.0205,202223
98,PROJECT GOODS; SOME SPECIAL USES.,"14,221.92",0.2473,202223
99,MISCELLANEOUS GOODS.,84.13,0.0015,202223
