HSCode,Commodity,INR,%Share,Year
01,LIVE ANIMALS.,224.95,0.0037,202425
02,MEAT AND EDIBLE MEAT OFFAL.,64.65,0.0011,202425
03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.","1,987.32",0.0326,202425
04,DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL O...,387.11,0.0063,202425
05,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",376.72,0.0062,202425
06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS...,563.36,0.0092,202425
07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,"47,372.66",0.7767,202425
08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,"40,096.31",0.6574,202425
09,"COFFEE, TEA, MATE AND SPICES.","11,324.63",0.1857,202425
10,CEREALS.,"3,345.29",0.0548,202425
11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLU...,923.40,0.0151,202425
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRI...","7,699.93",0.1262,202425
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.","3,337.72",0.0547,202425
14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPEC...,"1,077.30",0.0177,202425
15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE....,"148,631.21",2.4369,202425
16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER ...",69.24,0.0011,202425
17,SUGARS AND SUGAR CONFECTIONERY.,"13,069.21",0.2143,202425
18,COCOA AND COCOA PREPARATIONS.,"8,426.51",0.1382,202425
19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.","1,526.00",0.0250,202425
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.","1,505.04",0.0247,202425
21,MISCELLANEOUS EDIBLE PREPARATIONS.,"1,974.15",0.0324,202425
22,"BEVERAGES, SPIRITS AND VINEGAR.","11,617.53",0.1905,202425
23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,"5,915.30",0.0970,202425
24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,992.63,0.0163,202425
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEM...","42,074.74",0.6898,202425
26,"ORES, SLAG AND ASH.","61,202.78",1.0034,202425
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BIT...","1,844,336.08",30.2387,202425
28,INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS MET...,"96,469.14",1.5817,202425
29,ORGANIC CHEMICALS,"224,782.14",3.6854,202425
30,PHARMACEUTICAL PRODUCTS,"25,407.57",0.4166,202425
31,FERTILISERS.,"70,029.99",1.1482,202425
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS ...","24,290.28",0.3982,202425
33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARA...","11,934.87",0.1957,202425
34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICAT...","12,455.83",0.2042,202425
35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,"8,238.73",0.1351,202425
36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTA...,198.62,0.0033,202425
37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,"1,980.89",0.0325,202425
38,MISCELLANEOUS CHEMICAL PRODUCTS.,"67,768.04",1.1111,202425
39,PLASTIC AND ARTICLES THEREOF.,"186,924.99",3.0647,202425
40,RUBBER AND ARTICLES THEREOF.,"39,178.71",0.6424,202425
41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,"3,602.74",0.0591,202425
