S.No.,country,exp_inr_cr,year
1,AFGHANISTAN,"4,992.37",201819
2,ALBANIA,258.42,201819
3,ALGERIA,"6,575.29",201819
4,AMERI SAMOA,0.18,201819
5,ANDORRA,2.32,201819
6,ANGOLA,"1,974.13",201819
7,ANGUILLA,1.13,201819
8,ANTARTICA,0.02,201819
9,ANTIGUA,18.87,201819
10,ARGENTINA,"3,910.33",201819
11,ARMENIA,180.76,201819
12,ARUBA,67.48,201819
13,AUSTRALIA,"24,560.09",201819
14,AUSTRIA,"3,373.75",201819
15,AZERBAIJAN,306.27,201819
16,BAHAMAS,42.58,201819
17,BAHARAIN IS,"5,214.82",201819
18,BANGLADESH PR,"64,391.52",201819
19,BARBADOS,87.08,201819
20,BELARUS,389.97,201819
21,BELGIUM,"47,007.68",201819
22,BELIZE,118.86,201819
23,BENIN,"2,987.15",201819
24,BERMUDA,22.04,201819
25,BHUTAN,"4,591.33",201819
26,BOLIVIA,734.88,201819
27,BOSNIA-HRZGOVIN,119.14,201819
28,BOTSWANA,"1,253.52",201819
29,BR VIRGN IS,72.63,201819
30,BRAZIL,"26,617.43",201819
31,BRUNEI,393.46,201819
32,BULGARIA,"1,478.74",201819
33,BURKINA FASO,"1,271.93",201819
34,BURUNDI,340.80,201819
35,C AFRI REP,191.31,201819
36,CAMBODIA,"1,370.82",201819
37,CAMEROON,"1,249.48",201819
38,CANADA,"19,935.63",201819
39,CAPE VERDE IS,11.11,201819
40,CAYMAN IS,30.47,201819
41,CHAD,263.14,201819
42,CHILE,"6,912.09",201819
43,CHINA P RP,"1,17,289.11",201819
44,COLOMBIA,"7,810.88",201819
45,COMOROS,134.52,201819
46,CONGO D. REP.,"2,122.69",201819
47,CONGO P REP,933.16,201819
48,COOK IS,1.88,201819
49,COSTA RICA,953.10,201819
50,COTE D' IVOIRE,"3,146.52",201819
51,CROATIA,"1,074.35",201819
52,CUBA,244.32,201819
53,CURACAO,0.00,201819
54,CYPRUS,494.66,201819
55,CZECH REPUBLIC,"3,003.26",201819
56,DENMARK,"5,226.11",201819
57,DJIBOUTI,"5,549.24",201819
58,DOMINIC REP,"1,507.34",201819
59,DOMINICA,9.02,201819
60,ECUADOR,"2,078.85",201819
61,EGYPT A RP,"20,152.77",201819
62,EL SALVADOR,548.74,201819
63,EQUTL GUINEA,83.92,201819
64,ERITREA,61.99,201819
65,ESTONIA,449.55,201819
66,ETHIOPIA,"5,364.26",201819
67,FALKLAND IS,0.0000,201819
68,FAROE IS.,21.00,201819
69,FIJI IS,424.48,201819
70,FINLAND,"1,790.03",201819
71,FR GUIANA,13.24,201819
72,FR POLYNESIA,38.13,201819
73,FRANCE,"36,574.23",201819
74,GABON,386.45,201819
75,GAMBIA,"1,097.23",201819
76,GEORGIA,773.56,201819
77,GERMANY,"62,200.63",201819
78,GHANA,"5,006.79",201819
79,GIBRALTAR,"4,017.93",201819
80,GREECE,"3,502.87",201819
81,GREENLAND,0.02,201819
82,GRENADA,26.38,201819
83,GUADELOUPE,23.95,201819
84,GUAM,4.57,201819
85,GUATEMALA,"2,136.91",201819
86,GUERNSEY,0.00,201819
87,GUINEA,"2,828.36",201819
88,GUINEA BISSAU,75.63,201819
89,GUYANA,207.22,201819
90,HAITI,555.04,201819
91,HEARD MACDONALD,0.19,201819
92,HONDURAS,"1,168.79",201819
93,HONG KONG,"91,117.42",201819
94,HUNGARY,"3,204.58",201819
95,ICELAND,217.91,201819
96,INDONESIA,"36,871.06",201819
97,INSTALLATIONS IN INTERNATIONAL WATERS,0.00,201819
98,IRAN,"24,460.96",201819
99,IRAQ,"12,506.50",201819
100,IRELAND,"3,714.98",201819
101,ISRAEL,"25,958.75",201819
102,ITALY,"39,087.79",201819
103,JAMAICA,388.33,201819
104,JAPAN,"34,010.29",201819
105,JERSEY,0.00,201819
106,JORDAN,"4,058.07",201819
107,KAZAKHSTAN,"1,004.12",201819
108,KENYA,"14,440.68",201819
