S.No.,country,imp_inr_cr,year
1,AFGHANISTAN,"3,078.43",201819
2,ALBANIA,159.64,201819
3,ALGERIA,"11,899.54",201819
4,AMERI SAMOA,0.00,201819
5,ANDORRA,0.0000,201819
6,ANGOLA,"28,146.53",201819
7,ANGUILLA,1.30,201819
8,ANTARTICA,0.23,201819
9,ANTIGUA,1.07,201819
10,ARGENTINA,"13,614.97",201819
11,ARMENIA,6.29,201819
12,ARUBA,3.82,201819
13,AUSTRALIA,"91,638.32",201819
14,AUSTRIA,"5,004.20",201819
15,AZERBAIJAN,"1,029.19",201819
16,BAHAMAS,275.18,201819
17,BAHARAIN IS,"3,774.81",201819
18,BANGLADESH PR,"7,338.69",201819
19,BARBADOS,12.28,201819
20,BELARUS,"1,582.19",201819
21,BELGIUM,"73,002.29",201819
22,BELIZE,4.52,201819
23,BENIN,"2,604.31",201819
24,BERMUDA,53.42,201819
25,BHUTAN,"2,590.09",201819
26,BOLIVIA,"5,988.58",201819
27,BOSNIA-HRZGOVIN,17.12,201819
28,BOTSWANA,"6,809.85",201819
29,BR VIRGN IS,117.15,201819
30,BRAZIL,"30,839.97",201819
31,BRUNEI,"4,122.03",201819
32,BULGARIA,875.64,201819
33,BURKINA FASO,"6,148.61",201819
34,BURUNDI,30.82,201819
35,C AFRI REP,14.14,201819
36,CAMBODIA,298.28,201819
37,CAMEROON,"2,355.76",201819
38,CANADA,"24,655.77",201819
39,CAPE VERDE IS,20.32,201819
40,CAYMAN IS,1.65,201819
41,CHAD,"3,355.32",201819
42,CHILE,"8,642.31",201819
43,CHINA P RP,"4,92,079.28",201819
44,CHRISTMAS IS.,0.00,201819
45,COCOS IS,0.02,201819
46,COLOMBIA,"7,393.50",201819
47,COMOROS,230.58,201819
48,CONGO D. REP.,133.30,201819
49,CONGO P REP,"2,862.52",201819
50,COOK IS,0.13,201819
51,COSTA RICA,349.62,201819
52,COTE D' IVOIRE,"4,195.71",201819
53,CROATIA,268.47,201819
54,CUBA,26.61,201819
55,CYPRUS,"2,736.91",201819
56,CZECH REPUBLIC,"1,807.71",201819
57,DENMARK,"3,752.77",201819
58,DJIBOUTI,110.04,201819
59,DOMINIC REP,"3,999.88",201819
60,DOMINICA,2.22,201819
61,ECUADOR,"1,539.90",201819
62,EGYPT A RP,"11,698.16",201819
63,EL SALVADOR,29.44,201819
64,EQUTL GUINEA,"4,426.49",201819
65,ERITREA,0.00,201819
66,ESTONIA,755.31,201819
67,ETHIOPIA,377.60,201819
68,FAROE IS.,0.20,201819
69,FIJI IS,4.99,201819
70,FINLAND,"7,795.05",201819
71,FR GUIANA,12.85,201819
